1)tuId,2)tuName,3)operonName,4)tuGenes
RDBECOLITUC00174,ykgEFG,ykgEFG,ykgG;ykgF;ykgE;
RDBECOLITUC00175,ykgH,ykgH,ykgH;
RDBECOLITUC00176,pdeL,pdeL,pdeL;
RDBECOLITUC00177,yahB,yahB,yahB;
RDBECOLITUC00178,yahC,yahC,yahC;
RDBECOLITUC00179,yahDEFG,yahDEFG,yahG;yahF;yahE;yahD;
RDBECOLITUC00180,yahH,yahH,yahH;
RDBECOLITUC00181,yahIJ,yahIJ,yahJ;yahI;
RDBECOLITUC00182,yahK,yahK,yahK;
RDBECOLITUC00183,yahL,yahL,yahL;
RDBECOLITUC00184,yahM,yahM,yahM;
RDBECOLITUC00185,mhpT,mhpT,mhpT;
RDBECOLITUC00186,yaiL,yaiL,yaiL;
RDBECOLITUC00187,frmRAB,frmRAB,frmR;frmA;frmB;
RDBECOLITUC00188,yaiO,yaiO,yaiO;
RDBECOLITUC00189,insC1CD1D1,insC1CD1D1,insD1;insC1;insCD1;
RDBECOLITUC00190,yaiX,yaiX,yaiX;
RDBECOLITUC00191,yaiP,yaiP,yaiP;
RDBECOLITUC00192,hemB,hemB,hemB;
RDBECOLITUC00193,insE2F2EF2,insE2F2EF2,insE2;insF2;insEF2;
RDBECOLITUC00194,iprA,iprA,iprA;
RDBECOLITUC00195,iraP,iraP,iraP;
RDBECOLITUC00196,yaiI,yaiI,yaiI;
RDBECOLITUC00197,ppnP,ppnP,ppnP;
RDBECOLITUC00198,ykiA,ykiA,ykiA;
RDBECOLITUC00199,sbcDC,sbcDC,sbcD;sbcC;
RDBECOLITUC00200,brnQ-proY,brnQ-proY,proY;brnQ;
RDBECOLITUC00201,yajD,yajD,yajD;
RDBECOLITUC00202,yajI,yajI,yajI;
RDBECOLITUC00203,nrdR-ribDE-nusB-thiL-pgpA,nrdR-ribDE-nusB-thiL-pgpA,pgpA;thiL;nusB;ribE;ribD;nrdR;
RDBECOLITUC00204,panE-yajL,panE-yajL,panE;yajL;
RDBECOLITUC00205,yajR,yajR,yajR;
RDBECOLITUC00206,ampG,yajG-ampG,ampG;
RDBECOLITUC00207,yajG,yajG-ampG,yajG;
RDBECOLITUC00208,tig,tig,tig;
RDBECOLITUC00209,ybaV,ybaV,ybaV;
RDBECOLITUC00210,fadM,fadM,fadM;
RDBECOLITUC00211,queC,queC,queC;
RDBECOLITUC00212,ybaE,ybaE,ybaE;
RDBECOLITUC00213,cof,cof,cof;
RDBECOLITUC00214,decR,decR,decR;
RDBECOLITUC00215,mdlAB,mdlAB,mdlB;mdlA;
RDBECOLITUC00216,ffs,ffs,ffs;
RDBECOLITUC00217,ybaA,ybaA,ybaA;
RDBECOLITUC00218,pdeB,pdeB,pdeB;
RDBECOLITUC00219,ylaC,ylaC,ylaC;
RDBECOLITUC00220,maa,maa,maa;
RDBECOLITUC00221,tomB-hha,tomB-hha,tomB;hha;
RDBECOLITUC00222,mscK,mscK,mscK;
RDBECOLITUC00223,priC-ybaM,priC-ybaM,priC;ybaM;
RDBECOLITUC00224,ybaN,ybaN,ybaN;
RDBECOLITUC00225,apt,apt,apt;
RDBECOLITUC00226,dnaX,dnaX,dnaX;
RDBECOLITUC00227,hemH,hemH,hemH;
RDBECOLITUC00228,ybaL,ybaL,ybaL;
RDBECOLITUC00229,fsr,fsr,fsr;
RDBECOLITUC00230,cueR,cueR,cueR;
RDBECOLITUC00231,qmcA-ybbJ,qmcA-ybbJ,qmcA;ybbJ;
RDBECOLITUC00232,fetAB,fetAB,fetB;fetA;
RDBECOLITUC00233,ybbAP,ybbAP,ybbP;ybbA;
RDBECOLITUC00234,rhsD-ybbC-ylbH-ybbD,rhsD-ybbC-ylbH-ybbD,ybbD;ylbH;ybbC;rhsD;
RDBECOLITUC00235,ylbG,ylbG,ylbG;
RDBECOLITUC00236,fdrA-ylbEF-ybcF,fdrA-ylbEF-ybcF,ybcF;ylbF;ylbE;fdrA;
RDBECOLITUC00237,ppiB-lpxH,ppiB-lpxH,ppiB;lpxH;
RDBECOLITUC00238,ybcI,ybcI,ybcI;
RDBECOLITUC00239,folD-ybcJ,folD-ybcJ,folD;ybcJ;
RDBECOLITUC00240,sfmA,sfmAC,sfmA;
RDBECOLITUC00241,sfmCD,sfmAC,sfmD;sfmC;
RDBECOLITUC00242,sfmHF,sfmHF,sfmF;sfmH;
RDBECOLITUC00243,exoD,exoD,exoD;
RDBECOLITUC00244,peaD,peaD,peaD;
RDBECOLITUC00245,insE3EF3F3,insE3EF3F3,insF3;insE3;insEF3;
RDBECOLITUC00246,ybcK,ybcK,ybcK;
RDBECOLITUC00247,ybcLM,ybcLM,ybcM;ybcL;
RDBECOLITUC00248,ybcN-ninE-ybcO-rusA-ylcG,ybcN-ninE-ybcO-rusA-ylcG,ylcG;rusA;ybcO;ninE;ybcN;
RDBECOLITUC00249,ybcQ,ybcQ,quuD;
RDBECOLITUC00250,rzoD,rzoD,rzoD;
RDBECOLITUC00251,ybcV,ybcV,ybcV;
RDBECOLITUC00252,ybcW,ybcW,ybcW;
RDBECOLITUC00253,nohD,nohD,nohD;
RDBECOLITUC00254,tfaD,tfaD,tfaD;
RDBECOLITUC00255,tfaX,tfaX,tfaX;
RDBECOLITUC00256,ybdG,ybdG,ybdG;
RDBECOLITUC00257,ybdF,ybdF,ybdF;
RDBECOLITUC00258,ybdJ,ybdJ,ybdJ;
RDBECOLITUC00259,ybdK,ybdK,ybdK;
RDBECOLITUC00260,insL2,insL2,insL2;
RDBECOLITUC00261,ybdD,ybdD,ybdD;
RDBECOLITUC00262,ybdM,citR-ybdNM,ybdM;
RDBECOLITUC00263,ybdN,citR-ybdNM,ybdN;
RDBECOLITUC00264,ybdO,citR-ybdNM,citR;
RDBECOLITUC00265,None,dsbG,dsbG;
RDBECOLITUC00266,rnk,rnk,rnk;
RDBECOLITUC00267,rna,rna,rna;
RDBECOLITUC00268,citT,citT,citT;
RDBECOLITUC00269,citCDEFXG,citCDEFXG,citC;citD;citE;citF;citX;citG;
RDBECOLITUC00270,dpiBA,dpiBA,dpiA;dpiB;
RDBECOLITUC00271,cspE,cspE,cspE;
RDBECOLITUC00272,ybeM,ybeM,ybeM;
RDBECOLITUC00273,tatE,tatE,tatE;
RDBECOLITUC00274,lipA,lipA,lipA;
RDBECOLITUC00275,ybeF,ybeF,ybeF;
RDBECOLITUC00276,lipB,ybeD-lipB,lipB;
RDBECOLITUC00277,ybeD,ybeD-lipB,ybeD;
RDBECOLITUC00278,dacA,dacA,dacA;
RDBECOLITUC00279,rsfS-rlmH-mrdAB-rlpA,rsfS-rlmH-mrdAB-rlpA,rsfS;rlmH;mrdA;mrdB;rlpA;
RDBECOLITUC00280,leuS-lptE-holA-nadD-cobC,leuS-lptE-holA-nadD-cobC,leuS;lptE;holA;nadD;cobC;
RDBECOLITUC00281,ybeR-djlB,ybeR-djlB,djlB;ybeR;
RDBECOLITUC00282,ybeU-djlC,ybeU-djlC,djlC;ybeU;
RDBECOLITUC00283,hscC,hscC,hscC;
RDBECOLITUC00284,rihA,rihA,rihA;
RDBECOLITUC00285,insH3,insH3,insH3;
RDBECOLITUC00286,ybeX-lnt,ybeZYX-lnt,ybeX;lnt;
RDBECOLITUC00287,ybeZY,ybeZYX-lnt,ybeZ;ybeY;
RDBECOLITUC00288,miaB,miaB,miaB;
RDBECOLITUC00289,chiZPQ,chiZPQ,chiZ;chiQ;chiP;
RDBECOLITUC00290,chiQ,chiZPQ,chiQ;
RDBECOLITUC00291,ybfF,ybfF,ybfF;
RDBECOLITUC00292,ybfP,ybfP,ybfP;
RDBECOLITUC00293,ybfA,ybfA,ybfA;
RDBECOLITUC00294,rhsC-ybfB,rhsC-ybfB,ybfB;rhsC;
RDBECOLITUC00295,ybfOC,ybfOC,ybfC;ybfO;
RDBECOLITUC00296,ybfQ,ybfQ,ybfQ;
RDBECOLITUC00297,ybfL,ybfL,ybfL;
RDBECOLITUC00298,ybfD,ybfD,ybfD;
RDBECOLITUC00299,abrB,abrB,abrB;
RDBECOLITUC00300,ybgQPO,ybgQPO,ybgQ;ybgP;ybgO;
RDBECOLITUC00301,ybgD,ybgD,ybgD;
RDBECOLITUC00302,valZ-lysY,valZ-lysY,lysY;valZ;
RDBECOLITUC00303,lysZ,lysZ,lysZ;
RDBECOLITUC00304,lysQ,lysQ,lysQ;
RDBECOLITUC00305,None,nadA-pnuC,pnuC;nadA;
RDBECOLITUC00306,zitB,zitB,zitB;
RDBECOLITUC00307,ybgS,ybgS,ybgS;
RDBECOLITUC00308,modEF,modEF,modE;modF;
RDBECOLITUC00309,acrZ,acrZ,acrZ;
RDBECOLITUC00310,ybhH,ybhH,ybhH;
RDBECOLITUC00311,ybhI,ybhI,ybhI;
RDBECOLITUC00312,ybhJ,ybhJ,ybhJ;
RDBECOLITUC00313,ybhC,ybhC,ybhC;
RDBECOLITUC00314,ybhB,ybhB,ybhB;
RDBECOLITUC00315,ybhL,ybhL,ybhL;
RDBECOLITUC00316,ybhM,ybhM,ybhM;
